Date,Asset name,Series,Value
2023-01-01,BTC-USD,open,0.0
2023-01-01,BTC-USD,volume,0.03260876688910008
2023-01-01,ETH-USD,open,0.0
2023-01-01,ETH-USD,adjclose,0.0
2023-01-01,ETH-USD,volume,0.0
2023-01-01,LTC-USD,open,0.008847261230852776
2023-01-01,LTC-USD,adjclose,0.03350737245201474
2023-01-01,LTC-USD,volume,0.03583877275769476
2023-01-01,BTC-USD,adjclose,0.0
2023-01-01,XRP-USD,open,0.009152387122394634
2023-01-01,XRP-USD,adjclose,0.003522403650087824
2023-01-01,XRP-USD,volume,0.0
2023-01-02,BTC-USD,adjclose,0.004573433867337551
2023-01-02,XRP-USD,open,0.0035646322392326457
2023-01-02,ETH-USD,volume,0.09829055894192237
2023-01-02,ETH-USD,adjclose,0.014897890549124604
2023-01-02,XRP-USD,adjclose,0.05116815827138477
2023-01-02,ETH-USD,open,0.004754367380914726
2023-01-02,BTC-USD,volume,0.09343946087927191
2023-01-02,XRP-USD,volume,0.2661840657528946
2023-01-02,LTC-USD,volume,0.4199789221703152
2023-01-02,LTC-USD,open,0.033566912285533324
2023-01-02,LTC-USD,adjclose,0.15582380821940545
2023-01-02,BTC-USD,open,0.0055652740570735215
2023-01-03,ETH-USD,volume,0.07146835637376908
2023-01-03,XRP-USD,adjclose,0.028145589977599528
2023-01-03,GDLC,volume,0.3799283154121864
2023-01-03,LTC-USD,adjclose,0.17818257782647562
2023-01-03,BTC-USD,open,0.010107957547643043
2023-01-03,BTC-USD,volume,0.13192595886755287
2023-01-03,GDLC,adjclose,0.0
2023-01-03,ETH-USD,adjclose,0.015030846946864296
2023-01-03,XRP-USD,volume,0.13400875541898793
2023-01-03,LTC-USD,open,0.15579118729009434
2023-01-03,XRP-USD,open,0.051077650864599144
2023-01-03,BTC-USD,adjclose,0.003952012763228652
2023-01-03,ETH-USD,open,0.01952847146824288
2023-01-03,LTC-USD,volume,0.27159830096370197
2023-01-03,GDLC,open,0.01678661160207684
2023-01-04,GDLC,adjclose,0.07170924270664314
2023-01-04,LTC-USD,open,0.178130072131081
2023-01-04,ETH-USD,adjclose,0.06045624366431546
2023-01-04,LTC-USD,adjclose,0.1730806123004247
2023-01-04,XRP-USD,open,0.02815762355918272
2023-01-04,GDLC,open,0.0
2023-01-04,XRP-USD,adjclose,0.04746073889423541
2023-01-04,BTC-USD,volume,0.22825741290426588
2023-01-04,GDLC,volume,0.3532457188371167
2023-01-04,BTC-USD,open,0.009488099567262154
2023-01-04,BTC-USD,adjclose,0.017182363984518334
2023-01-04,XRP-USD,volume,0.1318996233132208
2023-01-04,ETH-USD,open,0.01950097123422645
2023-01-04,LTC-USD,volume,0.28843434666485646
2023-01-04,ETH-USD,volume,0.28814361217562146
2023-01-05,GDLC,open,0.050359720456794044
2023-01-05,LTC-USD,adjclose,0.13732488870073878
2023-01-05,BTC-USD,volume,0.1274422237091446
2023-01-05,LTC-USD,open,0.17295544608920732
2023-01-05,BTC-USD,adjclose,0.015270331566909823
2023-01-05,XRP-USD,volume,0.09727065515818205
2023-01-05,ETH-USD,adjclose,0.05383193354995974
2023-01-05,ETH-USD,open,0.06473713742660214
2023-01-05,GDLC,adjclose,0.08153241541015344
2023-01-05,XRP-USD,open,0.04742547896801752
2023-01-05,ETH-USD,volume,0.11527291200426917
2023-01-05,LTC-USD,volume,0.13084953819356104
2023-01-05,XRP-USD,adjclose,0.0
2023-01-05,BTC-USD,open,0.022632310612024753
