Date,Asset name,Series,Value
2004-11-18,GLD,open,0.022264431775250282
2004-11-18,GLD,volume,0.06068038795570194
2004-11-18,GLD,adjclose,0.020441608627059127
2004-11-19,GLD,adjclose,0.02306231037889317
2004-11-19,GLD,open,0.022657342328934127
2004-11-19,GLD,volume,0.12126022491332826
2004-11-22,GLD,volume,0.12490466374783521
2004-11-22,GLD,adjclose,0.024176127993077112
2004-11-22,GLD,open,0.02435990476821398
2004-11-23,GLD,volume,0.030485137171885515
2004-11-23,GLD,adjclose,0.022865764620608797
2004-11-23,GLD,open,0.025211198477858188
2004-11-24,GLD,open,0.025538611449257176
2004-11-24,GLD,adjclose,0.024831297182759948
2004-11-24,GLD,volume,0.06189020900701611
2004-11-26,GLD,volume,0.02972030777162943
2004-11-26,GLD,adjclose,0.02640373822834241
2004-11-26,GLD,open,0.027634084442220874
2004-11-29,GLD,volume,0.036794177455396544
2004-11-29,GLD,open,0.026651820548015404
2004-11-29,GLD,adjclose,0.027124439332855077
2004-11-30,GLD,adjclose,0.025289920614158468
2004-11-30,GLD,open,0.02841988056958017
2004-11-30,GLD,volume,0.03784461447784616
2004-12-01,GLD,adjclose,0.026993400496298003
2004-12-01,GLD,volume,0.018379438818461595
2004-12-01,GLD,open,0.0278305272290586
2004-12-02,GLD,adjclose,0.024176127993077112
2004-12-02,GLD,volume,0.06566301081778983
2004-12-02,GLD,open,0.02959858725062331
2004-12-03,GLD,open,0.02625893497434001
2004-12-03,GLD,adjclose,0.02843477771222086
2004-12-03,GLD,volume,0.041707270372006604
2004-12-06,GLD,volume,0.029770583270667242
2004-12-06,GLD,open,0.028550850754141432
2004-12-06,GLD,adjclose,0.025617505208999913
2004-12-07,GLD,volume,0.03720386928798127
2004-12-07,GLD,open,0.027961497413619862
2004-12-07,GLD,adjclose,0.025224413692431225
2004-12-08,GLD,volume,0.062355524795983094
2004-12-08,GLD,open,0.01813895839159918
2004-12-08,GLD,adjclose,0.018017427640406924
2004-12-09,GLD,open,0.017811545420200192
2004-12-09,GLD,adjclose,0.016510518509654293
2004-12-09,GLD,volume,0.03459489179535947
2004-12-10,GLD,volume,0.022944882007682528
