Date,Asset name,Series,Value
2023-04-11,IOO,adjclose,0.0
2023-04-12,CC=F,adjclose,0.0
2023-04-13,SB=F,adjclose,0.0
2023-04-14,EQIX,adjclose,0.0
2023-04-14,DLR,adjclose,0.0
2023-04-14,WPC,adjclose,0.0
2023-04-14,VTR,adjclose,0.0
2023-04-14,AVB,adjclose,0.0
2023-04-19,SHY,adjclose,0.0
2023-04-19,AGG,adjclose,0.0
2023-04-19,BNDW,adjclose,0.0
2023-04-21,GC=F,adjclose,0.0
2023-04-25,VEU,adjclose,0.0
2023-04-25,EEM,adjclose,0.0
2023-04-25,^IXIC,adjclose,0.0
2023-04-26,^GSPC,adjclose,0.0
2023-04-26,MSCI,adjclose,0.0
2023-04-26,PLD,adjclose,0.0
2023-04-27,ZS=F,adjclose,0.0
2023-04-27,ZC=F,adjclose,0.0
2023-05-01,TIP,adjclose,0.0
2023-05-01,GLD,adjclose,0.0
2023-05-02,DBA,adjclose,0.0
2023-05-03,USO,adjclose,0.0
2023-05-03,GSG,adjclose,0.0
2023-05-04,DGT,adjclose,0.0
2023-05-04,^RUT,adjclose,0.0
2023-05-04,CL=F,adjclose,0.0
2023-05-08,LTC-USD,adjclose,0.0
2023-05-09,TLT,adjclose,0.0
2023-05-09,LQD,adjclose,0.0
2023-05-11,XRP-USD,adjclose,0.0
2023-05-11,ALI=F,adjclose,0.0
2023-05-11,GDLC,adjclose,0.0
2023-05-11,KC=F,adjclose,0.0
2023-05-11,HG=F,adjclose,0.0
2023-05-11,SI=F,adjclose,0.0
2023-05-11,VNO,adjclose,0.0
2023-05-11,ETH-USD,adjclose,0.0
2023-05-11,SPG,adjclose,0.0
2023-05-11,SLV,adjclose,0.0
2023-05-11,BXP,adjclose,0.0
2023-05-11,DBB,adjclose,0.0
2023-05-12,BTC-USD,adjclose,0.0
