Date,Asset name,Series,Value
2023-04-11,^STOXX,adjclose,0.8352049613267668
2023-04-11,^STOXX,open,0.8294841521402228
2023-04-11,^STOXX,volume,0.1823567050743532
2023-04-12,^STOXX,open,0.8463561042300907
2023-04-12,^STOXX,volume,0.1695878525454262
2023-04-12,^STOXX,adjclose,0.847409630562889
2023-04-13,^STOXX,adjclose,0.8598876296445915
2023-04-13,^STOXX,open,0.8571642085981532
2023-04-13,^STOXX,volume,0.158111978756957
2023-04-14,^STOXX,adjclose,0.8639334751898727
2023-04-14,^STOXX,volume,0.1754150474379212
2023-04-14,^STOXX,open,0.8576918398902129
2023-04-17,^STOXX,adjclose,0.8513217418902216
2023-04-17,^STOXX,open,0.8543797170692016
2023-04-17,^STOXX,volume,0.1505218933190208
2023-04-18,^STOXX,open,0.8591300057596425
2023-04-18,^STOXX,adjclose,0.8630730263247727
2023-04-18,^STOXX,volume,0.1405299562915303
2023-04-19,^STOXX,open,0.8620038107390628
2023-04-19,^STOXX,volume,0.1665932016239906
2023-04-19,^STOXX,adjclose,0.8586228826107821
2023-04-20,^STOXX,volume,0.189102355752989
2023-04-20,^STOXX,adjclose,0.8589229909080031
2023-04-20,^STOXX,open,0.8614010510833536
2023-04-21,^STOXX,open,0.8632571524040153
2023-04-21,^STOXX,volume,0.1878001807339225
2023-04-21,^STOXX,adjclose,0.8664895356111638
2023-04-24,^STOXX,adjclose,0.8749369057856712
2023-04-24,^STOXX,open,0.8747192782532147
2023-04-24,^STOXX,volume,0.1467442063219366
2023-04-25,^STOXX,open,0.8642116885097255
2023-04-25,^STOXX,volume,0.1602942917346282
2023-04-25,^STOXX,adjclose,0.8588265017502158
2023-04-26,^STOXX,volume,0.1974267009261103
2023-04-26,^STOXX,adjclose,0.8559278282668911
2023-04-26,^STOXX,open,0.8672293951417891
2023-04-27,^STOXX,open,0.8543146522740883
2023-04-27,^STOXX,volume,0.1633065237769332
2023-04-27,^STOXX,adjclose,0.8564731797848072
2023-04-28,^STOXX,open,0.8578815544397975
2023-04-28,^STOXX,adjclose,0.8638236553167274
2023-04-28,^STOXX,volume,0.2114583287314373
2023-05-02,^STOXX,open,0.8629451549638192
2023-05-02,^STOXX,volume,0.1976073807528921
2023-05-02,^STOXX,adjclose,0.8448832406540953
2023-05-03,^STOXX,volume,0.1899843870630719
2023-05-03,^STOXX,open,0.8558774054932692
2023-05-03,^STOXX,adjclose,0.85655199019192
2023-05-04,^STOXX,adjclose,0.8441662066528511
2023-05-04,^STOXX,volume,0.1776743567090413
2023-05-04,^STOXX,open,0.8446064908715298
2023-05-05,^STOXX,open,0.8443948922732112
2023-05-05,^STOXX,adjclose,0.858326047739279
2023-05-05,^STOXX,volume,0.1622363293937497
2023-05-08,^STOXX,open,0.8579505831112255
2023-05-08,^STOXX,adjclose,0.8606761772671513
2023-05-08,^STOXX,volume,0.0764583111503165
2023-05-09,^STOXX,open,0.8584163313852664
2023-05-09,^STOXX,volume,0.1874074455415765
2023-05-09,^STOXX,adjclose,0.8520516574940803
2023-05-10,^STOXX,open,0.8562179286665066
2023-05-10,^STOXX,volume,0.1873628165424462
2023-05-10,^STOXX,adjclose,0.8491967974961846
2023-05-11,^STOXX,adjclose,0.8399989944615643
2023-05-11,^STOXX,volume,0.1885004503020932
2023-05-11,^STOXX,open,0.8402726426904377
2023-05-12,^STOXX,open,0.8409653955610725
2023-05-12,^STOXX,volume,0.1509854037928157
2023-05-12,^STOXX,adjclose,0.845351479474496
