DATE,USD
2003-12-02,1.1975
2003-12-01,1.2019
2003-11-28,1.1994
2003-11-27,1.1902
2003-11-26,1.1828
2003-11-25,1.1766
2003-11-24,1.1823
2003-11-21,1.1899
2003-11-20,1.1909
2003-11-19,1.191
2003-11-18,1.1778
2003-11-17,1.1802
2003-11-14,1.1765
2003-11-13,1.168
2003-11-12,1.16
2003-11-11,1.1497
2003-11-10,1.1483
2003-11-07,1.1424
2003-11-06,1.1449
2003-11-05,1.1473
2003-11-04,1.1468
2003-11-03,1.1589
2003-10-31,1.1622
2003-10-30,1.1736
2003-10-29,1.1684
2003-10-28,1.1673
2003-10-27,1.1748
2003-10-24,1.1781
2003-10-23,1.1786
2003-10-22,1.1694
2003-10-21,1.1623
2003-10-20,1.1629
2003-10-17,1.1579
2003-10-16,1.1615
2003-10-15,1.1669
2003-10-14,1.1634
2003-10-13,1.1688
2003-10-10,1.1788
2003-10-09,1.1788
2003-10-08,1.1781
2003-10-07,1.1768
2003-10-06,1.1579
2003-10-03,1.1686
2003-10-02,1.1692
2003-10-01,1.1671
2003-09-30,1.1652
2003-09-29,1.1413
2003-09-26,1.1487
2003-09-25,1.1493
2003-09-24,1.1466
2003-09-23,1.1464
2003-09-22,1.1468
2003-09-19,1.1312
2003-09-18,1.129
2003-09-17,1.1212
2003-09-16,1.1235
2003-09-15,1.1281
2003-09-12,1.1172
2003-09-11,1.1217
2003-09-10,1.1172
2003-09-09,1.1135
2003-09-08,1.1071
2003-09-05,1.0923
2003-09-04,1.0818
2003-09-03,1.0783
2003-09-02,1.0849
2003-09-01,1.0965
2003-08-29,1.0927
2003-08-28,1.0828
2003-08-27,1.0907
2003-08-26,1.0816
2003-08-25,1.0888
2003-08-22,1.0894
2003-08-21,1.1009
2003-08-20,1.1109
2003-08-19,1.1065
2003-08-18,1.1188
2003-08-15,1.1247
2003-08-14,1.127
2003-08-13,1.1277
2003-08-12,1.1312
2003-08-11,1.1295
2003-08-08,1.1326
2003-08-07,1.1353
2003-08-06,1.1392
2003-08-05,1.1333
2003-08-04,1.1307
2003-08-01,1.1169
2003-07-31,1.1318
2003-07-30,1.142
2003-07-29,1.1462
2003-07-28,1.1489
2003-07-25,1.1477
2003-07-24,1.1467
2003-07-23,1.1401
2003-07-22,1.1343
2003-07-21,1.1284
2003-07-18,1.1205
2003-07-17,1.1231
2003-07-16,1.1138
2003-07-15,1.1319
2003-07-14,1.1299
2003-07-11,1.1315
2003-07-10,1.1342
2003-07-09,1.1355
2003-07-08,1.1326
2003-07-07,1.136
